OBJECTID,HOEHE,NAME,SPRACHCODE,LONGITUDE,LATITUDE,ELEVATION
116,3554,Eggstock,Hochdeutsch inkl. Lokalsprachen,8.418258325407242,46.65218649400378,3553.3462119999967
117,3608,Schneestock,Hochdeutsch inkl. Lokalsprachen,8.421996377221245,46.64790196084875,3607.527511999997
118,3282,Ritzlihoren,Hochdeutsch inkl. Lokalsprachen,8.258859247731497,46.6322717800937,3276.6712119999975
119,4078,Schreckhorn,Hochdeutsch inkl. Lokalsprachen,8.118141855294214,46.589893132922256,4077.9000119999982
120,2777,Schwalmere,Hochdeutsch inkl. Lokalsprachen,7.816743843809555,46.592908249772286,2776.576211999998
121,3247,Bächlistock,Hochdeutsch inkl. Lokalsprachen,8.23952366451702,46.58657918209366,3246.185011999998
122,4042,Lauteraarhorn,Hochdeutsch inkl. Lokalsprachen,8.12831021486855,46.5833025112532,4041.043711999997
123,3970,Eiger,Hochdeutsch inkl. Lokalsprachen,8.005282622491247,46.577597799074105,3969.4762119999978
124,4107,Mönch,Hochdeutsch inkl. Lokalsprachen,7.9972721073299455,46.55849786722709,4106.471211999997
125,3099,Gross Muttenhorn,Hochdeutsch inkl. Lokalsprachen,8.42714774919296,46.54655672485409,3098.641211999997
126,4158,Jungfrau,Hochdeutsch inkl. Lokalsprachen,7.962589612108931,46.536782383328514,4157.920011999997
127,3436,Gspaltenhorn,Hochdeutsch inkl. Lokalsprachen,7.827278990066247,46.51159474554578,3435.5687119999984
128,4010,Lagginhorn,Hochdeutsch inkl. Lokalsprachen,8.003080682614842,46.157055485193446,4009.7575119999983
129,2762,Albristhore,Hochdeutsch inkl. Lokalsprachen,7.48932687386953,46.49712104452972,2761.662511999997
130,3892,Mittaghorn,Hochdeutsch inkl. Lokalsprachen,7.932608771292959,46.49820910012473,3891.885011999997
131,3754,Grosshorn,Hochdeutsch inkl. Lokalsprachen,7.910051093053557,46.48698887463015,3753.687511999997
132,3780,Breithorn,Hochdeutsch inkl. Lokalsprachen,7.876799932863537,46.47852713106291,3779.0925119999974
133,4193,Aletschhorn,Hochdeutsch inkl. Lokalsprachen,7.9936705750761785,46.46514887102221,4192.862511999998
134,3797,Schinhorn,Hochdeutsch inkl. Lokalsprachen,7.946623670271098,46.4515629467787,3796.1662119999983
135,3740,Geisshorn,Hochdeutsch inkl. Lokalsprachen,8.005638219764029,46.44104445899182,3739.5012119999974
136,3146,Steghorn,Hochdeutsch inkl. Lokalsprachen,7.584101509345776,46.416756605696186,3145.9500119999975
137,3629,Altels,Hochdeutsch inkl. Lokalsprachen,7.678449046364475,46.4289399377211,3628.7000119999975
138,3243,Grossstrubel,Hochdeutsch inkl. Lokalsprachen,7.562417013305554,46.41246614025105,3242.4387119999974
139,3699,Balmhorn,Hochdeutsch inkl. Lokalsprachen,7.693517845911887,46.42506250763212,3698.1537119999975
140,3236,Ofenhorn,Hochdeutsch inkl. Lokalsprachen,8.318627351123535,46.386425526139746,3235.760011999997
141,3236,Punta d'Arbola,Italienisch inkl. Lokalsprachen,8.318627351123535,46.386425526139746,3235.760011999997
142,3785,Breithorn,Hochdeutsch inkl. Lokalsprachen,7.893863577253977,46.41895504044516,3784.481211999997
143,3821,Nesthorn,Hochdeutsch inkl. Lokalsprachen,7.9259950862534145,46.41315536807467,3819.8375119999982
144,3448,Rinderhorn,Hochdeutsch inkl. Lokalsprachen,7.654301759569354,46.41355499761616,3447.8425119999974
145,3244,Wildstrubel,Hochdeutsch inkl. Lokalsprachen,7.528630728499307,46.40034351112105,3243.0700119999983
146,2748,Batnall,Hochdeutsch inkl. Lokalsprachen,8.440487104546314,46.304151200252285,2748.0650119999973
147,2748,Madone,Italienisch inkl. Lokalsprachen,8.440487104546314,46.304151200252285,2748.0650119999973
148,3180,Ferdenrothorn,Hochdeutsch inkl. Lokalsprachen,7.707243053289207,46.408458907938034,3179.7400119999984
149,3934,Bietschhorn,Hochdeutsch inkl. Lokalsprachen,7.85076690579069,46.3915561280064,3933.141211999997
150,2548,Le Tarent,Franzoesisch inkl. Lokalsprachen,7.147559274701507,46.38207851605569,2547.7275119999977
151,3307,Wilerhorn,Hochdeutsch inkl. Lokalsprachen,7.8105751241750365,46.37859386432769,3306.122511999998
152,3374,Corno Cieco,Italienisch inkl. Lokalsprachen,8.30770729747382,46.42588218539169,3373.7437119999977
153,3374,Blinnenhorn,Hochdeutsch inkl. Lokalsprachen,8.30770729747382,46.42588218539169,3373.7437119999977
154,2924,Mont Brun,Franzoesisch inkl. Lokalsprachen,7.261853634883823,46.33746035452955,2924.0062119999984
155,2924,Sanetschhore,Hochdeutsch inkl. Lokalsprachen,7.261853634883823,46.33746035452955,2924.0062119999984
156,2912,Cristallina,Italienisch inkl. Lokalsprachen,8.536711113249314,46.464746339413814,2911.576211999998
157,2904,Tête à Pierre Grept,Franzoesisch inkl. Lokalsprachen,7.1552020426064145,46.25277392727556,2903.2062119999973
158,2969,Haut de Cry,Franzoesisch inkl. Lokalsprachen,7.195043184986555,46.24026583936854,2968.9262119999985
159,3025,Bella Tola,Franzoesisch inkl. Lokalsprachen,7.653718260676785,46.23907448058049,3024.7262119999978
160,3051,Grand Muveran,Franzoesisch inkl. Lokalsprachen,7.1261464842559255,46.23718274302848,3050.9225119999974
161,2899,Grand Chavalard,Franzoesisch inkl. Lokalsprachen,7.113029344872881,46.17866312125546,2898.9562119999973
162,2864,Poncione di Braga,Italienisch inkl. Lokalsprachen,8.543017127947598,46.43441677003771,2863.855011999998
163,3985,Fletschhorn,Hochdeutsch inkl. Lokalsprachen,8.0024849314226,46.16717294352722,3984.758711999997
164,3149,Becs de Bosson,Franzoesisch inkl. Lokalsprachen,7.518969283140378,46.1680982042324,3148.7175119999974
165,3609,Les Diablons,Franzoesisch inkl. Lokalsprachen,7.670897206658704,46.142459069998615,3607.9037119999975
166,3238,Grand Golliat,Franzoesisch inkl. Lokalsprachen,7.101474398759723,45.85919702331532,3237.117511999997
167,3518,Mont Gelé,Franzoesisch inkl. Lokalsprachen,7.366083696623272,45.90414455137041,3517.683711999998
168,2652,Männliflue,Hochdeutsch inkl. Lokalsprachen,7.546659636934273,46.551295089467054,2652.1487119999983
169,3210,Sommet des Diablerets,Franzoesisch inkl. Lokalsprachen,7.189108906615863,46.30390485359144,3209.7800119999974
170,3049,Vordere Loner,Hochdeutsch inkl. Lokalsprachen,7.6001033637174125,46.46196629535341,3048.1725119999974
171,3257,Haute Cime,Franzoesisch inkl. Lokalsprachen,6.9232443224785065,46.16108047372713,3256.9775119999977
172,4274,Finsteraarhorn,Hochdeutsch inkl. Lokalsprachen,8.126167322255439,46.537301239292574,4273.311211999997
173,2863,Wandfluhhorn,Hochdeutsch inkl. Lokalsprachen,8.464172112803956,46.34464341018044,2863.0387119999978
174,2863,Pizzo Bìela,Italienisch inkl. Lokalsprachen,8.464172112803956,46.34464341018044,2863.0387119999978
175,2681,Faulhorn,Hochdeutsch inkl. Lokalsprachen,7.999076531291152,46.67483497971121,2680.4725119999985
176,2831,Le Cheval Blanc,Franzoesisch inkl. Lokalsprachen,6.872761174454493,46.05192903191561,2830.9037119999975
177,3220,Tour Sallière,Franzoesisch inkl. Lokalsprachen,6.924599925528323,46.12686329486722,3219.9262119999985
178,3084,Mont Rogneux,Franzoesisch inkl. Lokalsprachen,7.230808666594643,46.00952051121867,3083.746211999998
179,3663,Petit Combin,Franzoesisch inkl. Lokalsprachen,7.267709099803663,45.98402549902834,3662.857511999997
180,3490,Pointe de Vouasson,Franzoesisch inkl. Lokalsprachen,7.425450567837595,46.0713525836191,3489.4050119999974
181,3418,Grande Dent de Veisivi,Franzoesisch inkl. Lokalsprachen,7.527922399367861,46.05077994633547,3417.850011999997
182,3962,Grand Cornier,Franzoesisch inkl. Lokalsprachen,7.611542017859461,46.052109783150605,3961.305011999997
183,4092,Punta Polluce,Italienisch inkl. Lokalsprachen,7.785287006619173,45.92780444409201,4090.8312119999973
184,4092,Pollux,Hochdeutsch inkl. Lokalsprachen,7.785287006619173,45.92780444409201,4090.8312119999973
185,2760,Pizzo Massari,Italienisch inkl. Lokalsprachen,8.683229780479659,46.475947137645655,2759.6100119999974
186,2747,Schenadüi,Italienisch inkl. Lokalsprachen,8.748673799794094,46.55245470635764,2746.3350119999977
187,3661,Blüemlisalphorn,Hochdeutsch inkl. Lokalsprachen,7.771769361557302,46.48876842451518,3660.1187119999977
